card_log_number,description,location_name,lower_river_mile,upper_river_mile,Sample Year,sample_datetime,samplers,card_number,position_number,fork_length_cm,poh_length,sex_type_description,mark_types,cwt_bag_number,snout_number,origin_type_description,gilbert_rich,european,card_sequence,species_code,species_description,card_type_description,fishery_type_description,gear_description,otolith_number,dna_number,carcass_tag_number
20-12-16-57220,WRIA 07.0940,Wallace River,,,2020,2020-10-28,BC/LL,A79050,1,80,,Male,Unmarked,,,,4?,0.3,12-Jan,2,Chum,Regular Card,Unknown,Hatchery Rack,201,,
20-12-16-57220,WRIA 07.0940,Wallace River,,,2020,2020-10-28,BC/LL,A79050,2,79,,Male,Unmarked,,,,4?,0.3,12-Jan,2,Chum,Regular Card,Unknown,Hatchery Rack,202,,
20-12-16-57220,WRIA 07.0940,Wallace River,,,2020,2020-10-28,BC/LL,A79050,3,78,,Male,Unmarked,,,,4?,0.3,12-Jan,2,Chum,Regular Card,Unknown,Hatchery Rack,203,,
20-12-16-57220,WRIA 07.0940,Wallace River,,,2020,2020-10-28,BC/LL,A79050,4,71,,Female,Unmarked,,,,4?,0.3,12-Jan,2,Chum,Regular Card,Unknown,Hatchery Rack,204,,
20-12-16-57220,WRIA 07.0940,Wallace River,,,2020,2020-10-28,BC/LL,A79050,5,84,,Male,Unmarked,,,,4?,0.3,12-Jan,2,Chum,Regular Card,Unknown,Hatchery Rack,205,,
20-12-16-57220,WRIA 07.0940,Wallace River,,,2020,2020-10-28,BC/LL,A79050,6,76,,Male,Unmarked,,,,4?,0.3,12-Jan,2,Chum,Regular Card,Unknown,Hatchery Rack,206,,
20-12-16-57220,WRIA 07.0940,Wallace River,,,2020,2020-10-28,BC/LL,A79050,7,75,,Male,Unmarked,,,,4?,0.3,12-Jan,2,Chum,Regular Card,Unknown,Hatchery Rack,207,,
20-12-16-57220,WRIA 07.0940,Wallace River,,,2020,2020-10-28,BC/LL,A79050,8,74,,Male,Unmarked,,,,4?,0.3,12-Jan,2,Chum,Regular Card,Unknown,Hatchery Rack,208,,
20-12-16-57220,WRIA 07.0940,Wallace River,,,2020,2020-10-28,BC/LL,A79050,9,74,,Male,Unmarked,,,,4?,0.3,12-Jan,2,Chum,Regular Card,Unknown,Hatchery Rack,209,,
20-12-16-57220,WRIA 07.0940,Wallace River,,,2020,2020-10-28,BC/LL,A79050,10,84,,Male,Unmarked,,,,4?,0.3,12-Jan,2,Chum,Regular Card,Unknown,Hatchery Rack,210,,
20-12-16-57220,WRIA 07.0940,Wallace River,,,2020,2020-10-28,BC/LL,A79050,11,69,,Female,Unmarked,,,,4?,0.3,12-Jan,2,Chum,Regular Card,Unknown,Hatchery Rack,211,,
20-12-16-57220,WRIA 07.0940,Wallace River,,,2020,2020-10-28,BC/LL,A79050,12,79,,Male,Unmarked,,,,4?,0.3,12-Jan,2,Chum,Regular Card,Unknown,Hatchery Rack,212,,
20-12-16-57220,WRIA 07.0940,Wallace River,,,2020,2020-10-28,BC/LL,A79050,13,78,,Male,Unmarked,,,,4?,0.3,12-Jan,2,Chum,Regular Card,Unknown,Hatchery Rack,213,,
20-12-16-57220,WRIA 07.0940,Wallace River,,,2020,2020-11-04,LL/BC/KR,A79047,1,67,,Female,Unmarked,,,,4?,0.3,12-Feb,2,Chum,Regular Card,Unknown,Hatchery Rack,214,,
20-12-16-57220,WRIA 07.0940,Wallace River,,,2020,2020-11-04,LL/BC/KR,A79047,2,70,,Female,Unmarked,,,,5?,0.4,12-Feb,2,Chum,Regular Card,Unknown,Hatchery Rack,215,,
20-12-16-57220,WRIA 07.0940,Wallace River,,,2020,2020-11-04,LL/BC/KR,A79047,3,73,,Female,Unmarked,,,,4?,0.3,12-Feb,2,Chum,Regular Card,Unknown,Hatchery Rack,216,,
20-12-16-57220,WRIA 07.0940,Wallace River,,,2020,2020-11-04,LL/BC/KR,A79047,4,71,,Female,Unmarked,,,,4?,0.3,12-Feb,2,Chum,Regular Card,Unknown,Hatchery Rack,217,,
20-12-16-57220,WRIA 07.0940,Wallace River,,,2020,2020-11-04,LL/BC/KR,A79047,5,72,,Female,Unmarked,,,,4?,0.3,12-Feb,2,Chum,Regular Card,Unknown,Hatchery Rack,218,,
20-12-16-57220,WRIA 07.0940,Wallace River,,,2020,2020-11-04,LL/BC/KR,A79047,6,72,,Female,Unmarked,,,,4?,0.3,12-Feb,2,Chum,Regular Card,Unknown,Hatchery Rack,219,,
20-12-16-57220,WRIA 07.0940,Wallace River,,,2020,2020-11-04,LL/BC/KR,A79047,7,75,,Female,Unmarked,,,,4?,0.3,12-Feb,2,Chum,Regular Card,Unknown,Hatchery Rack,220,,
20-12-16-57220,WRIA 07.0940,Wallace River,,,2020,2020-11-04,LL/BC/KR,A79047,8,72,,Female,Unmarked,,,,4?,0.3,12-Feb,2,Chum,Regular Card,Unknown,Hatchery Rack,222,,
20-12-16-57220,WRIA 07.0940,Wallace River,,,2020,2020-11-04,LL/BC/KR,A79047,9,78,,Female,Unmarked,,,,4?,0.3,12-Feb,2,Chum,Regular Card,Unknown,Hatchery Rack,223,,
20-12-16-57220,WRIA 07.0940,Wallace River,,,2020,2020-11-04,LL/BC/KR,A79047,10,78,,Female,Unmarked,,,,4?,0.3,12-Feb,2,Chum,Regular Card,Unknown,Hatchery Rack,224,,
20-12-16-57220,WRIA 07.0940,Wallace River,,,2020,2020-11-04,LL/BC/KR,A79047,11,78,,Female,Unmarked,,,,4?,0.3,12-Feb,2,Chum,Regular Card,Unknown,Hatchery Rack,224,,
20-12-16-57220,WRIA 07.0940,Wallace River,,,2020,2020-11-04,LL/BC/KR,A79047,12,73,,Female,Unmarked,,,,4?,0.3,12-Feb,2,Chum,Regular Card,Unknown,Hatchery Rack,225,,
20-12-16-57220,WRIA 07.0940,Wallace River,,,2020,2020-11-04,LL/BC/KR,A79047,13,76,,Female,Unmarked,,,,4?,0.3,12-Feb,2,Chum,Regular Card,Unknown,Hatchery Rack,226,,
20-12-16-57220,WRIA 07.0940,Wallace River,,,2020,2020-11-04,LL/BC/KR,A79047,14,73,,Female,Unmarked,,,,4?,0.3,12-Feb,2,Chum,Regular Card,Unknown,Hatchery Rack,227,,
20-12-16-57220,WRIA 07.0940,Wallace River,,,2020,2020-11-04,LL/BC/KR,A79047,15,73,,Female,Unmarked,,,,4?,0.3,12-Feb,2,Chum,Regular Card,Unknown,Hatchery Rack,228,,
20-12-16-57220,WRIA 07.0940,Wallace River,,,2020,2020-11-04,LL/BC/KR,A79047,16,75,,Female,Unmarked,,,,4?,0.3,12-Feb,2,Chum,Regular Card,Unknown,Hatchery Rack,229,,
20-12-16-57220,WRIA 07.0940,Wallace River,,,2020,2020-11-04,LL/BC/KR,A79047,17,68,,Female,Unmarked,,,,4?,0.3,12-Feb,2,Chum,Regular Card,Unknown,Hatchery Rack,230,,
20-12-16-57220,WRIA 07.0940,Wallace River,,,2020,2020-11-04,LL/BC/KR,A79047,18,70,,Female,Unmarked,,,,4?,0.3,12-Feb,2,Chum,Regular Card,Unknown,Hatchery Rack,231,,
20-12-16-57220,WRIA 07.0940,Wallace River,,,2020,2020-11-04,LL/BC/KR,A79047,19,70,,Female,Unmarked,,,,4?,0.3,12-Feb,2,Chum,Regular Card,Unknown,Hatchery Rack,232,,
20-12-16-57220,WRIA 07.0940,Wallace River,,,2020,2020-11-04,LL/BC/KR,A79047,20,70,,Female,Unmarked,,,,4?,0.3,12-Feb,2,Chum,Regular Card,Unknown,Hatchery Rack,233,,
20-12-16-57220,WRIA 07.0940,Wallace River,,,2020,2020-11-04,KW/EJ,A79048,1,77,,Male,Unmarked,,,,4?,0.3,12-Apr,2,Chum,Regular Card,Unknown,Hatchery Rack,241,,
20-12-16-57220,WRIA 07.0940,Wallace River,,,2020,2020-11-04,KW/EJ,A79048,2,83,,Male,Unmarked,,,,4?,0.3,12-Apr,2,Chum,Regular Card,Unknown,Hatchery Rack,242,,
20-12-16-57220,WRIA 07.0940,Wallace River,,,2020,2020-11-04,KW/EJ,A79048,3,79,,Male,Unmarked,,,,4?,0.3,12-Apr,2,Chum,Regular Card,Unknown,Hatchery Rack,243,,
20-12-16-57220,WRIA 07.0940,Wallace River,,,2020,2020-11-04,KW/EJ,A79048,4,76,,Male,Unmarked,,,,,,12-Apr,2,Chum,Regular Card,Unknown,Hatchery Rack,244,,
20-12-16-57220,WRIA 07.0940,Wallace River,,,2020,2020-11-04,KW/EJ,A79048,5,79,,Male,Unmarked,,,,4?,0.3,12-Apr,2,Chum,Regular Card,Unknown,Hatchery Rack,245,,
20-12-16-57220,WRIA 07.0940,Wallace River,,,2020,2020-11-04,KW/EJ,A79048,6,80,,Male,Unmarked,,,,4?,0.3,12-Apr,2,Chum,Regular Card,Unknown,Hatchery Rack,246,,
20-12-16-57220,WRIA 07.0940,Wallace River,,,2020,2020-11-04,KW/EJ,A79048,7,83,,Male,Unmarked,,,,4?,0.3,12-Apr,2,Chum,Regular Card,Unknown,Hatchery Rack,247,,
20-12-16-57220,WRIA 07.0940,Wallace River,,,2020,2020-11-04,KW/EJ,A79048,8,76,,Male,Unmarked,,,,4?,0.3,12-Apr,2,Chum,Regular Card,Unknown,Hatchery Rack,248,,
20-12-16-57220,WRIA 07.0940,Wallace River,,,2020,2020-11-04,KW/EJ,A79048,9,73,,Male,Unmarked,,,,4?,0.3,12-Apr,2,Chum,Regular Card,Unknown,Hatchery Rack,249,,
20-12-16-57220,WRIA 07.0940,Wallace River,,,2020,2020-11-04,KW/EJ,A79048,10,71,,Male,Unmarked,,,,4?,0.3,12-Apr,2,Chum,Regular Card,Unknown,Hatchery Rack,250,,
20-12-16-57220,WRIA 07.0940,Wallace River,,,2020,2020-11-04,KW/EJ,A79048,11,72,,Male,Unmarked,,,,3?,0.2,12-Apr,2,Chum,Regular Card,Unknown,Hatchery Rack,251,,
20-12-16-57220,WRIA 07.0940,Wallace River,,,2020,2020-11-04,KW/EJ,A79048,12,81,,Male,Unmarked,,,,4?,0.3,12-Apr,2,Chum,Regular Card,Unknown,Hatchery Rack,252,,
20-12-16-57220,WRIA 07.0940,Wallace River,,,2020,2020-11-04,KW/EJ,A79048,13,78,,Male,Unmarked,,,,4?,0.3,12-Apr,2,Chum,Regular Card,Unknown,Hatchery Rack,253,,
20-12-16-57220,WRIA 07.0940,Wallace River,,,2020,2020-11-04,KW/EJ,A79048,14,77,,Male,Unmarked,,,,5?,0.4,12-Apr,2,Chum,Regular Card,Unknown,Hatchery Rack,254,,
20-12-16-57220,WRIA 07.0940,Wallace River,,,2020,2020-11-04,KW/EJ,A79048,15,79,,Male,Unmarked,,,,4?,0.3,12-Apr,2,Chum,Regular Card,Unknown,Hatchery Rack,255,,
20-12-16-57220,WRIA 07.0940,Wallace River,,,2020,2020-11-04,KW/EJ,A79048,16,84,,Male,Unmarked,,,,4?,0.3,12-Apr,2,Chum,Regular Card,Unknown,Hatchery Rack,256,,
20-12-16-57220,WRIA 07.0940,Wallace River,,,2020,2020-11-04,KW/EJ,A79049,1,73,,Female,Unmarked,,,,4?,0.3,12-Mar,2,Chum,Regular Card,Unknown,Hatchery Rack,234,,
