card_log_number,location_name,lower_river_mile,upper_river_mile,sample_datetime,samplers,card_number,position_number,fork_length_cm,poh_length,sex_type_description,mark_types,cwt_bag_number,snout_number,origin_type_description,gilbert_rich,european,card_sequence,species_code,species_description,card_type_description,fishery_type_description,gear_description,otolith_number,dna_number,carcass_tag_number
25-1-13-34208,Wallace River,,,2024-11-04,KC/FG,A70180,1,72,,Female,Unmarked,,,,4?,0.3,3-Jan,2,Chum,Regular Card,Non-Treaty,Broodstock Collection,1,501,
25-1-13-34208,Wallace River,,,2024-11-04,KC/FG,A70180,2,65,,Female,Unmarked,,,,4?,0.3,3-Jan,2,Chum,Regular Card,Non-Treaty,Broodstock Collection,2,502,
25-1-13-34208,Wallace River,,,2024-11-04,KC/FG,A70180,3,72,,Female,Unmarked,,,,4?,0.3,3-Jan,2,Chum,Regular Card,Non-Treaty,Broodstock Collection,3,503,
25-1-13-34208,Wallace River,,,2024-11-04,KC/FG,A70180,4,73,,Female,Unmarked,,,,4?,0.3,3-Jan,2,Chum,Regular Card,Non-Treaty,Broodstock Collection,4,504,
25-1-13-34208,Wallace River,,,2024-11-04,KC/FG,A70180,5,71,,Female,Unmarked,,,,4?,0.3,3-Jan,2,Chum,Regular Card,Non-Treaty,Broodstock Collection,5,505,
25-1-13-34208,Wallace River,,,2024-11-04,KC/FG,A70180,6,69,,Female,Unmarked,,,,4?,0.3,3-Jan,2,Chum,Regular Card,Non-Treaty,Broodstock Collection,6,506,
25-1-13-34208,Wallace River,,,2024-11-04,KC/FG,A70180,7,69,,Female,Unmarked,,,,4?,0.3,3-Jan,2,Chum,Regular Card,Non-Treaty,Broodstock Collection,7,507,
25-1-13-34208,Wallace River,,,2024-11-04,KC/FG,A70180,8,66,,Female,Unmarked,,,,4?,0.3,3-Jan,2,Chum,Regular Card,Non-Treaty,Broodstock Collection,8,508,
25-1-13-34208,Wallace River,,,2024-11-04,KC/FG,A70180,9,71,,Female,Unmarked,,,,4?,0.3,3-Jan,2,Chum,Regular Card,Non-Treaty,Broodstock Collection,9,509,
25-1-13-34208,Wallace River,,,2024-11-04,KC/FG,A70180,10,70,,Female,Unmarked,,,,4?,0.3,3-Jan,2,Chum,Regular Card,Non-Treaty,Broodstock Collection,10,510,
25-1-13-34208,Wallace River,,,2024-11-04,KC/FG,A70180,11,75,,Female,Unmarked,,,,4?,0.3,3-Jan,2,Chum,Regular Card,Non-Treaty,Broodstock Collection,11,511,
25-1-13-34208,Wallace River,,,2024-11-04,KC/FG,A70180,12,69,,Female,Unmarked,,,,4?,0.3,3-Jan,2,Chum,Regular Card,Non-Treaty,Broodstock Collection,12,512,
25-1-13-34208,Wallace River,,,2024-11-04,KC/FG,A70180,13,62,,Female,Unmarked,,,,4?,0.3,3-Jan,2,Chum,Regular Card,Non-Treaty,Broodstock Collection,13,513,
25-1-13-34208,Wallace River,,,2024-11-04,KC/FG,A70180,14,70,,Female,Unmarked,,,,4?,0.3,3-Jan,2,Chum,Regular Card,Non-Treaty,Broodstock Collection,14,514,
25-1-13-34208,Wallace River,,,2024-11-04,KC/FG,A70180,15,68,,Female,Unmarked,,,,4?,0.3,3-Jan,2,Chum,Regular Card,Non-Treaty,Broodstock Collection,15,515,
25-1-13-34208,Wallace River,,,2024-11-04,KC/FG,A70180,16,69,,Female,Unmarked,,,,4?,0.3,3-Jan,2,Chum,Regular Card,Non-Treaty,Broodstock Collection,16,516,
25-1-13-34208,Wallace River,,,2024-11-04,KC/FG,A70180,17,76,,Female,Unmarked,,,,4?,0.3,3-Jan,2,Chum,Regular Card,Non-Treaty,Broodstock Collection,17,517,
25-1-13-34208,Wallace River,,,2024-11-04,KC/FG,A70180,18,63,,Female,Unmarked,,,,4?,0.3,3-Jan,2,Chum,Regular Card,Non-Treaty,Broodstock Collection,18,518,
25-1-13-34208,Wallace River,,,2024-11-04,KC/FG,A70180,19,69,,Female,Unmarked,,,,4?,0.3,3-Jan,2,Chum,Regular Card,Non-Treaty,Broodstock Collection,19,519,
25-1-13-34208,Wallace River,,,2024-11-04,KC/FG,A70180,20,72,,Female,Unmarked,,,,4?,0.3,3-Jan,2,Chum,Regular Card,Non-Treaty,Broodstock Collection,20,520,
25-1-13-34208,Wallace River,,,2024-11-04,KC/FG,A70181,1,70,,Female,Unmarked,,,,4?,0.3,3-Feb,2,Chum,Regular Card,Non-Treaty,Broodstock Collection,21,521,
25-1-13-34208,Wallace River,,,2024-11-04,KC/FG,A70181,2,70,,Female,Unmarked,,,,4?,0.3,3-Feb,2,Chum,Regular Card,Non-Treaty,Broodstock Collection,22,522,
25-1-13-34208,Wallace River,,,2024-11-04,KC/FG,A70181,3,72,,Female,Unmarked,,,,4?,0.3,3-Feb,2,Chum,Regular Card,Non-Treaty,Broodstock Collection,23,523,
25-1-13-34208,Wallace River,,,2024-11-04,KC/FG,A70181,4,66,,Female,Unmarked,,,,4?,0.3,3-Feb,2,Chum,Regular Card,Non-Treaty,Broodstock Collection,24,524,
25-1-13-34208,Wallace River,,,2024-11-04,KC/FG,A70181,5,71,,Female,Unmarked,,,,4?,0.3,3-Feb,2,Chum,Regular Card,Non-Treaty,Broodstock Collection,25,525,
25-1-13-34208,Wallace River,,,2024-11-04,KC/FG,A70181,6,71,,Female,Unmarked,,,,5?,0.4,3-Feb,2,Chum,Regular Card,Non-Treaty,Broodstock Collection,26,526,
25-1-13-34208,Wallace River,,,2024-11-04,KC/FG,A70181,7,64,,Female,Unmarked,,,,4?,0.3,3-Feb,2,Chum,Regular Card,Non-Treaty,Broodstock Collection,27,527,
25-1-13-34208,Wallace River,,,2024-11-04,KC/FG,A70181,8,74,,Female,Unmarked,,,,4?,0.3,3-Feb,2,Chum,Regular Card,Non-Treaty,Broodstock Collection,28,528,
25-1-13-34208,Wallace River,,,2024-11-04,KC/FG,A70181,9,72,,Male,Unmarked,,,,4?,0.3,3-Feb,2,Chum,Regular Card,Non-Treaty,Broodstock Collection,29,529,
25-1-13-34208,Wallace River,,,2024-11-04,KC/FG,A70181,10,73,,Male,Unmarked,,,,4?,0.3,3-Feb,2,Chum,Regular Card,Non-Treaty,Broodstock Collection,30,530,
25-1-13-34208,Wallace River,,,2024-11-04,KC/FG,A70181,11,76,,Male,Unmarked,,,,4?,0.3,3-Feb,2,Chum,Regular Card,Non-Treaty,Broodstock Collection,31,531,
25-1-13-34208,Wallace River,,,2024-11-04,KC/FG,A70181,12,69,,Male,Unmarked,,,,4?,0.3,3-Feb,2,Chum,Regular Card,Non-Treaty,Broodstock Collection,32,532,
25-1-13-34208,Wallace River,,,2024-11-04,KC/FG,A70181,13,74,,Male,Unmarked,,,,4?,0.3,3-Feb,2,Chum,Regular Card,Non-Treaty,Broodstock Collection,33,533,
25-1-13-34208,Wallace River,,,2024-11-04,KC/FG,A70181,14,75,,Male,Unmarked,,,,4?,0.3,3-Feb,2,Chum,Regular Card,Non-Treaty,Broodstock Collection,34,534,
25-1-13-34208,Wallace River,,,2024-11-04,KC/FG,A70181,15,75,,Male,Unmarked,,,,4?,0.3,3-Feb,2,Chum,Regular Card,Non-Treaty,Broodstock Collection,35,535,
25-1-13-34208,Wallace River,,,2024-11-04,KC/FG,A70181,16,75,,Male,Unmarked,,,,4?,0.3,3-Feb,2,Chum,Regular Card,Non-Treaty,Broodstock Collection,36,536,
25-1-13-34208,Wallace River,,,2024-11-04,KC/FG,A70181,17,71,,Male,Unmarked,,,,4?,0.3,3-Feb,2,Chum,Regular Card,Non-Treaty,Broodstock Collection,37,537,
25-1-13-34208,Wallace River,,,2024-11-04,KC/FG,A70181,18,73,,Male,Unmarked,,,,4?,0.3,3-Feb,2,Chum,Regular Card,Non-Treaty,Broodstock Collection,38,538,
25-1-13-34208,Wallace River,,,2024-11-04,KC/FG,A70181,19,73,,Male,Unmarked,,,,4?,0.3,3-Feb,2,Chum,Regular Card,Non-Treaty,Broodstock Collection,39,539,
25-1-13-34208,Wallace River,,,2024-11-04,KC/FG,A70181,20,71,,Male,Unmarked,,,,4?,0.3,3-Feb,2,Chum,Regular Card,Non-Treaty,Broodstock Collection,40,540,
25-1-13-34208,Wallace River,,,2024-11-04,KC/FG,A70182,1,73,,Male,Unmarked,,,,4?,0.3,3-Mar,2,Chum,Regular Card,Non-Treaty,Hook & Line,41,541,
25-1-13-34208,Wallace River,,,2024-11-04,KC/FG,A70182,2,77,,Male,Unmarked,,,,4?,0.3,3-Mar,2,Chum,Regular Card,Non-Treaty,Hook & Line,42,542,
25-1-13-34208,Wallace River,,,2024-11-04,KC/FG,A70182,3,64,,Male,Unmarked,,,,3?,0.2,3-Mar,2,Chum,Regular Card,Non-Treaty,Hook & Line,43,543,
25-1-13-34208,Wallace River,,,2024-11-04,KC/FG,A70182,4,78,,Male,Unmarked,,,,4?,0.3,3-Mar,2,Chum,Regular Card,Non-Treaty,Hook & Line,44,544,
25-1-13-34208,Wallace River,,,2024-11-04,KC/FG,A70182,5,74,,Male,Unmarked,,,,4?,0.3,3-Mar,2,Chum,Regular Card,Non-Treaty,Hook & Line,45,545,
25-1-13-34208,Wallace River,,,2024-11-04,KC/FG,A70182,6,70,,Male,Unmarked,,,,3?,0.2,3-Mar,2,Chum,Regular Card,Non-Treaty,Hook & Line,46,546,
25-1-13-34208,Wallace River,,,2024-11-04,KC/FG,A70182,7,67,,Male,Unmarked,,,,4?,0.3,3-Mar,2,Chum,Regular Card,Non-Treaty,Hook & Line,47,547,
25-1-13-34208,Wallace River,,,2024-11-04,KC/FG,A70182,8,75,,Male,Unmarked,,,,4?,0.3,3-Mar,2,Chum,Regular Card,Non-Treaty,Hook & Line,48,548,
25-1-13-34208,Wallace River,,,2024-11-04,KC/FG,A70182,9,78,,Male,Unmarked,,,,4?,0.3,3-Mar,2,Chum,Regular Card,Non-Treaty,Hook & Line,49,549,
25-1-13-34208,Wallace River,,,2024-11-04,KC/FG,A70182,10,68,,Male,Unmarked,,,,4?,0.3,3-Mar,2,Chum,Regular Card,Non-Treaty,Hook & Line,50,550,
25-1-13-34208,Wallace River,,,2024-11-04,KC/FG,A70182,11,71,,Male,Unmarked,,,,4?,0.3,3-Mar,2,Chum,Regular Card,Non-Treaty,Hook & Line,51,551,
